
Date

Price

Open

High

Low

Vol.

Change %
Feb 28, 2019	141.79	135.47	168.42	123.25	363.75M	+4.67%
Jan 31, 2019	135.47	106.74	165.79	102.28	221.67M	+26.95%
Dec 31, 2018	106.71	131.90	159.78	101.60	131.93M	-19.10%
Nov 30, 2018	131.90	113.76	158.27	77.65	146.33M	+15.93%
Oct 31, 2018	113.77	198.59	224.64	102.80	605.73M	-42.71%
Sep 30, 2018	198.59	232.80	235.95	188.65	397.56M	-14.70%
Aug 31, 2018	232.80	281.94	301.92	169.08	175.97M	-17.43%
Jul 31, 2018	281.94	431.88	434.43	250.84	101.46M	-34.66%
Jun 30, 2018	431.50	452.72	515.20	418.71	42.99M	-4.68%
May 31, 2018	452.67	577.87	627.51	406.12	42.91M	-21.67%
Apr 30, 2018	577.87	670.12	838.26	507.72	35.18M	-13.76%
Mar 31, 2018	670.07	394.10	711.74	359.49	32.78M	+70.09%
Feb 28, 2018	393.96	852.44	879.53	366.12	29.39M	-53.79%
Jan 31, 2018	852.49	1,118.15	1,157.09	568.78	33.36M	-23.75%
Dec 31, 2017	1,118.08	736.77	1,423.20	717.94	29.28M	+51.75%
Nov 30, 2017	736.77	432.21	863.00	390.00	32.87M	+70.47%
Oct 31, 2017	432.21	303.69	517.00	275.21	20.28M	+42.32%
Sep 30, 2017	303.69	303.44	355.00	273.50	15.55M	+0.08%
Aug 31, 2017	303.44	387.30	395.03	198.00	29.41M	-21.65%
Jul 31, 2017	387.30	200.81	390.10	200.80	18.01M	+92.87%
Jun 30, 2017	200.81	275.62	285.91	136.12	27.07M	-27.14%
May 31, 2017	275.62	218.34	412.21	196.00	14.33M	+26.23%
Apr 30, 2017	218.34	83.51	230.55	66.00	17.36M	+161.45%
Mar 31, 2017	83.51	49.72	84.00	41.05	12.69M	+67.96%
Feb 28, 2017	49.72	15.86	58.99	15.62	28.83M	+213.49%
Jan 31, 2017	15.86	10.71	16.23	10.41	4.81M	+48.09%
Dec 31, 2016	10.71	8.17	11.70	8.03	4.45M	+33.88%
Nov 30, 2016	8.00	8.61	8.84	5.86	3.92M	-7.19%
Oct 31, 2016	8.62	10.96	11.27	7.74	1.94M	-21.35%
Sep 30, 2016	10.96	13.25	13.50	9.50	3.05M	-17.59%
Aug 31, 2016	13.30	11.66	15.40	11.26	3.84M	+14.36%
Jul 31, 2016	11.63	12.00	12.33	9.90	4.20M	-1.94%
Jun 30, 2016	11.86	12.50	15.15	9.35	16.27M	-5.12%
May 31, 2016	12.50	14.07	21.69	10.13	21.52M	-10.78%
Apr 30, 2016	14.01	8.74	14.89	8.35	7.22M	+57.95%
Mar 31, 2016	8.87	11.41	11.94	6.86	2.30M	-22.26%
